baseline,metric,n,mean_advantage,median_advantage,win_rate,wilcoxon_greater_p,bootstrap_ci95_low,bootstrap_ci95_high,holm_p_all_tests,holm_significant_0p05
risk_mahalanobis,failure_auroc,680,0.267100070979087,0.2784578864413948,0.998529411764706,2.6514993165486584e-113,0.2582343368528415,0.2758360980271237,3.994836422601385e-111,True
risk_mahalanobis,failure_auprc,680,0.1794198672570577,0.18359250087308,0.9970588235294118,2.6987653172444906e-113,0.1731780105065629,0.1856923244558979,3.994836422601385e-111,True
risk_mahalanobis,risk_brier,680,0.1214219032557018,0.1237242123290197,0.998529411764706,2.6515025434811334e-113,0.1175164384993148,0.1252604173511463,3.994836422601385e-111,True
risk_mahalanobis,selective_risk_at_80,680,0.0528469212168304,0.0543478260869565,0.986764705882353,1.6137243293016255e-112,0.0508811436582429,0.0546796103185325,2.0010181683340156e-110,True
risk_mahalanobis,risk_nll,680,0.4338440218067324,0.4437838367912425,1.0,2.6281818569745956e-113,0.4186281556380657,0.4497217725860894,3.994836422601385e-111,True
risk_mara,risk_coverage_auc,680,0.0074062966133794,0.0061152954518856,0.7691176470588236,2.1253588387908404e-55,0.0065448676550012,0.0083063556747446,1.105186596171237e-53,True
risk_mara,risk_ece_10bin,680,-0.0002809390193842,-0.0033511411407034,0.4323529411764706,0.9577228700041,-0.0020267081939951,0.0015040130671249,1.0,False
risk_mara,selective_risk_at_90,680,0.0021741553778567,0.0021832032701598,0.5661764705882353,2.616049213088012e-11,0.0015014191893015,0.0028447605785564,4.185678740940819e-10,True
risk_mara,failure_auroc,680,0.0184183813128583,0.0159260704594783,0.788235294117647,6.489460822681108e-58,0.0164336239885659,0.0205212302629613,3.5692034524746094e-56,True
risk_mara,failure_auprc,680,0.018643929894453,0.0196924398823407,0.7073529411764706,7.202433792764161e-35,0.015829105439605,0.0213723647374508,2.7369248412503814e-33,True
risk_mara,risk_brier,680,0.0006578451335589,0.0003724472324916,0.5661764705882353,1.4505669632161686e-05,0.0002603852016422,0.001041179948584,0.00011604535705729349,True
risk_mara,selective_risk_at_80,680,0.0029984450462959,0.002183406113537,0.5367647058823529,2.968697498153532e-13,0.0021669525304808,0.0037860143945887,5.640525246491711e-12,True
risk_mara,risk_nll,680,0.0029628443981204,0.0022706721324523,0.6161764705882353,2.25410254426498e-09,0.001873935434636,0.0040656043586922,2.704923053117976e-08,True
risk_mara_ad_guard,risk_coverage_auc,680,0.0227815645674014,0.0208523542473072,0.901470588235294,4.3808770219951543e-104,0.021437333207149,0.0241246471050427,4.449630466305767e-102,True
risk_mara_ad_guard,risk_ece_10bin,680,-0.0056010771259669,-0.0036809978752792,0.4073529411764706,0.9999999994394227,-0.0071417984636588,-0.004011962301109,1.0,False
risk_mara_ad_guard,selective_risk_at_90,680,0.0046514758230374,0.0054054054054053,0.6323529411764706,4.14340914316846e-26,0.0038480772881299,0.0054503245994636,1.1601545600871687e-24,True
risk_mara_ad_guard,failure_auroc,680,0.0508975834379329,0.0470744402594685,0.8764705882352941,4.2748225163964813e-97,0.0475281898307383,0.0541345508976123,3.8045920395928686e-95,True
risk_mara_ad_guard,failure_auprc,680,0.0484564090624784,0.0444688086235566,0.8647058823529412,1.7392547288433534e-84,0.0449367080901095,0.051901462231976,1.3218335939209485e-82,True
risk_mara_ad_guard,risk_brier,680,0.0033658008129899,0.0039357693838652,0.85,1.5221212062896102e-70,0.0029335567110158,0.0037772843691597,9.437151478995584e-69,True
risk_mara_ad_guard,selective_risk_at_80,680,0.0091388574808394,0.0085106382978724,0.6867647058823529,3.9542831384604243e-42,0.0079720250754382,0.0102461235304687,1.6212560867687739e-40,True
risk_mara_ad_guard,risk_nll,680,0.012772337140683,0.0149012346527896,0.8485294117647059,8.353520690449677e-76,0.0114967017983081,0.0139448857521773,5.5133236556967865e-74,True
risk_mara_ad_guard_isotonic,risk_coverage_auc,680,0.0263025533577521,0.0247330219471153,0.9485294117647058,2.742408146978944e-109,0.0250018033453138,0.0275980479980526,2.93437671726747e-107,True
risk_mara_ad_guard_isotonic,risk_ece_10bin,680,-0.002960033816808,-0.0032917905756625,0.4205882352941176,0.9989406937418168,-0.0049217269181869,-0.000931204279017,1.0,False
risk_mara_ad_guard_isotonic,selective_risk_at_90,680,0.005602046767369,0.0054054054054053,0.6823529411764706,8.44067678243052e-31,0.0047665745328365,0.0064495298722767,3.038643641674987e-29,True
risk_mara_ad_guard_isotonic,failure_auroc,680,0.0583405586804218,0.0573914220295326,0.9441176470588236,2.732125024220136e-107,0.0554783755192372,0.0611015437422898,2.8960525256733443e-105,True
risk_mara_ad_guard_isotonic,failure_auprc,680,0.0719917682285445,0.0680003569607232,0.9794117647058824,1.8046432092998526e-112,0.0686145030996955,0.0751418527666453,2.2016647153458202e-110,True
risk_mara_ad_guard_isotonic,risk_brier,680,0.0043721460727241,0.0045221322014064,0.8441176470588235,7.886091139745137e-76,0.0038481606693974,0.0049025699870347,5.283681063629242e-74,True
risk_mara_ad_guard_isotonic,selective_risk_at_80,680,0.0117240157912434,0.0108932978925384,0.7264705882352941,1.5529586597810293e-65,0.0106320135666864,0.0127410724409665,9.162456092708073e-64,True
risk_mara_ad_guard_isotonic,risk_nll,680,0.0424426063507533,0.0239294719382193,0.9397058823529412,3.816162032518712e-102,0.0382026354249565,0.0474404203466942,3.7780004121935243e-100,True
risk_mara_ad_guard_rate,risk_coverage_auc,680,0.0225450109496875,0.0207229797196315,0.9,4.3623828101036934e-104,0.021215811763841,0.0238561100740145,4.449630466305767e-102,True
risk_mara_ad_guard_rate,risk_ece_10bin,680,0.0378412999467564,0.0349318591531905,0.8485294117647059,3.8294486182458266e-71,0.0344187989719129,0.041310490299354,2.4125526294948706e-69,True
risk_mara_ad_guard_rate,selective_risk_at_90,680,0.0044510642340769,0.0050279329608938,0.6323529411764706,2.2045121760084566e-25,0.003687958689413,0.005239472642856,5.952182875222833e-24,True
risk_mara_ad_guard_rate,failure_auroc,680,0.0501101569402437,0.0469960316916842,0.8779411764705882,3.1596703330558293e-97,0.0469738616307695,0.05323956394644,2.8437032997502464e-95,True
risk_mara_ad_guard_rate,failure_auprc,680,0.0482263095726345,0.0445407197663784,0.8661764705882353,6.148539465269345e-85,0.0447402800107142,0.0516463050052172,4.7343753882573954e-83,True
